experiment,od550aer,abs550aer,angstrm550_865,ssa550,ccns.3,ccncol.3,cdnc_incl_ct,clt,cllvi,clivi,pr,scre,lcre,fnet
base,1.6030e-01,1.0466e-02,6.9394e-01,9.0830e-01,1.2622e+08,5.2049e+11,2.7471e+07,6.6805e-01,6.6441e-02,1.4246e-02,3.5933e-05,-4.4990e+01,2.3879e+01,-1.7463e+00
emi_ant_so2_L,1.5986e-01,1.0466e-02,6.9096e-01,9.0782e-01,1.2086e+08,5.1179e+11,2.7131e+07,6.6794e-01,6.6368e-02,1.4205e-02,3.5936e-05,-4.4928e+01,2.3839e+01,-1.7091e+00
emi_ant_so2_H,1.6141e-01,1.0469e-02,7.0050e-01,9.0933e-01,1.3615e+08,5.3750e+11,2.8308e+07,6.6838e-01,6.6724e-02,1.4206e-02,3.5915e-05,-4.5157e+01,2.3867e+01,-1.9451e+00
emi_ant_bc_L,1.6017e-01,1.0276e-02,6.9391e-01,9.1011e-01,1.2519e+08,5.1896e+11,2.7548e+07,6.6764e-01,6.6459e-02,1.4248e-02,3.5937e-05,-4.4989e+01,2.3836e+01,-1.8060e+00
emi_ant_bc_H,1.6075e-01,1.0919e-02,6.9419e-01,9.0435e-01,1.2861e+08,5.2441e+11,2.7605e+07,6.6806e-01,6.6514e-02,1.4192e-02,3.5891e-05,-4.4999e+01,2.3831e+01,-1.7527e+00
emi_ant_oc_L,1.6007e-01,1.0433e-02,6.9041e-01,9.0831e-01,1.2186e+08,5.1386e+11,2.7370e+07,6.6783e-01,6.6409e-02,1.4229e-02,3.5928e-05,-4.5004e+01,2.3877e+01,-1.7482e+00
emi_ant_oc_H,1.6084e-01,1.0540e-02,7.0137e-01,9.0846e-01,1.3398e+08,5.3335e+11,2.7763e+07,6.6807e-01,6.6539e-02,1.4194e-02,3.5931e-05,-4.5053e+01,2.3844e+01,-1.8559e+00
emi_bb_so2_L,1.6025e-01,1.0477e-02,6.9376e-01,9.0824e-01,1.2495e+08,5.1833e+11,2.7386e+07,6.6836e-01,6.6418e-02,1.4184e-02,3.5929e-05,-4.5000e+01,2.3842e+01,-1.7872e+00
emi_bb_so2_H,1.6032e-01,1.0424e-02,6.9440e-01,9.0847e-01,1.3024e+08,5.2817e+11,2.7816e+07,6.6795e-01,6.6652e-02,1.4226e-02,3.5921e-05,-4.5118e+01,2.3871e+01,-1.8761e+00
emi_bb_bc_L,1.5976e-01,9.9718e-03,6.9457e-01,9.1021e-01,1.2616e+08,5.2052e+11,2.7486e+07,6.6863e-01,6.6406e-02,1.4178e-02,3.5907e-05,-4.5018e+01,2.3847e+01,-1.8149e+00
emi_bb_bc_H,1.6245e-01,1.2152e-02,6.9236e-01,9.0314e-01,1.2650e+08,5.2078e+11,2.7630e+07,6.6809e-01,6.6427e-02,1.4196e-02,3.5938e-05,-4.4914e+01,2.3804e+01,-1.6876e+00
emi_bb_oc_L,1.5785e-01,1.0235e-02,6.8045e-01,9.0718e-01,1.2562e+08,5.1941e+11,2.7565e+07,6.6793e-01,6.6488e-02,1.4210e-02,3.5914e-05,-4.5068e+01,2.3863e+01,-1.7857e+00
emi_bb_oc_H,1.7025e-01,1.1125e-02,7.2275e-01,9.1016e-01,1.2733e+08,5.2255e+11,2.7638e+07,6.6850e-01,6.6409e-02,1.4177e-02,3.5917e-05,-4.4900e+01,2.3814e+01,-1.8966e+00
emi_dms_L,1.6027e-01,1.0468e-02,6.9398e-01,9.0829e-01,1.2623e+08,5.2057e+11,2.7486e+07,6.6831e-01,6.6428e-02,1.4194e-02,3.5932e-05,-4.5002e+01,2.3845e+01,-1.7864e+00
emi_dms_H,1.6028e-01,1.0466e-02,6.9399e-01,9.0830e-01,1.2629e+08,5.2074e+11,2.7515e+07,6.6819e-01,6.6476e-02,1.4229e-02,3.5926e-05,-4.5039e+01,2.3870e+01,-1.7985e+00
emi_ss_acc_L,1.4666e-01,1.0456e-02,6.3903e-01,9.0346e-01,1.0261e+08,4.9444e+11,1.9835e+07,6.6028e-01,5.9133e-02,1.4145e-02,3.5874e-05,-4.2211e+01,2.3437e+01,8.9882e-01
emi_ss_acc_H,1.8810e-01,1.0484e-02,7.7844e-01,9.1536e-01,1.7642e+08,5.7431e+11,4.3223e+07,6.7212e-01,7.2659e-02,1.4195e-02,3.5933e-05,-4.7251e+01,2.4042e+01,-4.4699e+00
emi_ss_coa_L,1.2373e-01,1.0462e-02,1.0473e+00,8.9030e-01,1.2603e+08,5.2030e+11,2.8641e+07,6.6709e-01,6.6516e-02,1.4191e-02,3.5883e-05,-4.5467e+01,2.3869e+01,-1.4195e+00
emi_ss_coa_H,2.4036e-01,1.0474e-02,4.5901e-01,9.2376e-01,1.2710e+08,5.2146e+11,2.5682e+07,6.6989e-01,6.6551e-02,1.4201e-02,3.5984e-05,-4.4216e+01,2.3767e+01,-2.6765e+00
emi_du_L,1.7712e-01,1.1435e-02,6.8548e-01,9.0877e-01,1.2682e+08,5.2133e+11,2.7585e+07,6.6786e-01,6.6439e-02,1.4207e-02,3.5922e-05,-4.4954e+01,2.3827e+01,-1.8729e+00
emi_du_H,1.5190e-01,9.9866e-03,7.0167e-01,9.0785e-01,1.2595e+08,5.2018e+11,2.7579e+07,6.6812e-01,6.6537e-02,1.4218e-02,3.5935e-05,-4.5048e+01,2.3842e+01,-1.7623e+00
wetdep_ic_L,1.6431e-01,1.0500e-02,6.8186e-01,9.0981e-01,1.2828e+08,5.2717e+11,2.8518e+07,6.6882e-01,6.7411e-02,1.4246e-02,3.5909e-05,-4.5392e+01,2.3891e+01,-2.2138e+00
wetdep_ic_H,1.5761e-01,1.0447e-02,7.0291e-01,9.0722e-01,1.2475e+08,5.1591e+11,2.6860e+07,6.6743e-01,6.5704e-02,1.4167e-02,3.5934e-05,-4.4679e+01,2.3803e+01,-1.4532e+00
activ_aero_L,1.6015e-01,1.0474e-02,6.9471e-01,9.0818e-01,1.2567e+08,5.2080e+11,2.5941e+07,6.6694e-01,6.4981e-02,1.4367e-02,3.5941e-05,-4.4387e+01,2.3785e+01,-1.2403e+00
activ_aero_H,1.6046e-01,1.0467e-02,6.9331e-01,9.0838e-01,1.2639e+08,5.2054e+11,2.8765e+07,6.6833e-01,6.7375e-02,1.4180e-02,3.5927e-05,-4.5413e+01,2.3843e+01,-2.2025e+00
activ_cwturb_L,1.6551e-01,1.0537e-02,6.7913e-01,9.1046e-01,1.2937e+08,5.2931e+11,1.5876e+07,6.5951e-01,6.2270e-02,1.3625e-02,3.6022e-05,-4.1454e+01,2.2765e+01,5.1509e-01
activ_cwturb_H,1.5658e-01,1.0383e-02,7.0636e-01,9.0679e-01,1.2615e+08,5.1688e+11,3.9660e+07,6.8731e-01,7.0508e-02,1.8630e-02,3.5391e-05,-5.1999e+01,2.9999e+01,-2.4476e+00
micro_ccraut_L,1.6243e-01,1.0469e-02,6.8746e-01,9.0915e-01,1.2751e+08,5.2261e+11,2.8428e+07,6.7301e-01,7.7448e-02,1.3869e-02,3.6021e-05,-4.6731e+01,2.3707e+01,-3.6424e+00
micro_ccraut_H,1.5626e-01,1.0466e-02,7.0646e-01,9.0667e-01,1.2380e+08,5.1747e+11,2.5609e+07,6.5562e-01,4.6814e-02,1.5503e-02,3.5734e-05,-4.1015e+01,2.4622e+01,2.9371e+00
micro_ccsaut_L,1.6159e-01,1.0538e-02,6.8653e-01,9.0880e-01,1.2718e+08,5.2853e+11,2.7955e+07,6.7843e-01,7.1790e-02,3.4814e-02,3.5435e-05,-4.8250e+01,2.5954e+01,-2.8405e+00
micro_ccsaut_H,1.6079e-01,1.0473e-02,6.9203e-01,9.0855e-01,1.2633e+08,5.2055e+11,2.7519e+07,6.6594e-01,6.6281e-02,1.2439e-02,3.5940e-05,-4.4478e+01,2.3370e+01,-1.7408e+00
conv_cprcon_land_L,1.6135e-01,1.0531e-02,6.9428e-01,9.0870e-01,1.2734e+08,5.2788e+11,2.7677e+07,6.7222e-01,7.1977e-02,1.7522e-02,3.5666e-05,-4.6449e+01,2.4804e+01,-2.2053e+00
conv_cprcon_land_H,1.5845e-01,1.0356e-02,6.9460e-01,9.0742e-01,1.2381e+08,5.0720e+11,2.7136e+07,6.6393e-01,6.0231e-02,1.0641e-02,3.6445e-05,-4.2424e+01,2.2716e+01,-4.3640e-01
conv_cprcon_ocean_L,1.6313e-01,1.0510e-02,6.8759e-01,9.0950e-01,1.2827e+08,5.2764e+11,2.8159e+07,6.6986e-01,7.2587e-02,1.5711e-02,3.5915e-05,-4.6703e+01,2.4191e+01,-3.2362e+00
conv_cprcon_ocean_H,1.5703e-01,1.0405e-02,7.0320e-01,9.0666e-01,1.2359e+08,5.1119e+11,2.6669e+07,6.6654e-01,6.1669e-02,1.2414e-02,3.5860e-05,-4.1844e+01,2.3209e+01,8.9295e-01
conv_entrpen_L,1.4566e-01,1.0058e-02,7.1346e-01,9.0174e-01,1.3283e+08,5.0412e+11,2.8244e+07,7.0095e-01,6.5079e-02,1.7602e-02,4.0168e-05,-4.7094e+01,2.8222e+01,-4.0242e-01
conv_entrpen_H,1.6205e-01,1.0494e-02,6.8959e-01,9.0911e-01,1.2640e+08,5.2295e+11,2.7519e+07,6.6598e-01,6.6428e-02,1.3887e-02,3.5776e-05,-4.4722e+01,2.3582e+01,-1.7507e+00
rad_bc_ni_L,1.5693e-01,5.5178e-03,7.2068e-01,9.5823e-01,1.2605e+08,5.2016e+11,2.7465e+07,6.6747e-01,6.6406e-02,1.4304e-02,3.6089e-05,-4.5304e+01,2.3953e+01,-2.5319e+00
rad_bc_ni_H,1.6096e-01,1.1316e-02,6.9022e-01,9.0060e-01,1.2627e+08,5.2063e+11,2.7629e+07,6.6845e-01,6.6546e-02,1.4190e-02,3.5907e-05,-4.4954e+01,2.3837e+01,-1.6593e+00
