protocol_name,namelist_vars,category,low_value,high_value,notes
emi_ant_so2,srf_emis_scale_so2_ant,mandatory,0.6,2,"protocol range [0.6, 2] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_ant_bc,srf_emis_scale_bc_ant,mandatory,0.6,2,"protocol range [0.6, 2] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_ant_oc,srf_emis_scale_oc_ant,mandatory,0.6,2,"protocol range [0.6, 2] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_bb_so2,srf_emis_scale_so2_bb,mandatory,0.25,4,"protocol range [0.25, 4] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_bb_bc,srf_emis_scale_bc_bb,mandatory,0.25,4,"protocol range [0.25, 4] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_bb_oc,srf_emis_scale_oc_bb,mandatory,0.25,4,"protocol range [0.25, 4] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_dms,srf_emis_scale_dms,mandatory,0.2,3,"protocol range [0.2, 3] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_ss_acc,seasalt_emis_scale_accum,mandatory,0.1,3,"protocol range [0.1, 3] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_ss_coa,seasalt_emis_scale_coarse,mandatory,0.1,3,"protocol range [0.1, 3] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
emi_du,dust_emis_fact,mandatory,0.35,1.40,"stock CAM6 knob (not added this branch); protocol range [0.5, 2] Rel applied on top of CAM6's own default 0.70 -> CAM6-native range [0.35, 1.40] per ~/LHS_example/CAM6_param_range_list.txt"
wetdep_ic,sol_facti_cloud_borne,mandatory,0.75,1.25,"stock CAM6 knob (not added this branch); protocol range [0.75, 1.25] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
activ_aero,microp_aero_npccn_scale,mandatory,0.75,1.25,"protocol range [0.75, 1.25] Rel; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
activ_cwturb,microp_aero_wsub_scale;microp_aero_wsubi_scale,mandatory,0.3,3,"protocol range [0.3, 3] Rel; TWO namelist vars, both set to the same value; CAM6 default (1) matches protocol default (1) -- see ~/LHS_example/CAM6_param_range_list.txt (Changed=No) -- so the protocol range applies directly, no default-ratio scaling needed"
micro_ccraut,micro_mg_autocon_fact,mandatory,0.003214,0.053571,"protocol range [0.9, 15] Rel, protocol default 2.8; CAM6's own default is 0.01 (not 2.8) -- same 0.9x/15x ratio-of-default scale applied on top of CAM6's default per ~/LHS_example/CAM6_param_range_list.txt -> [0.003214, 0.053571]"
micro_ccsaut,micro_mg_iautocon_fact,mandatory,0.083333,1.666667,"protocol range [100, 2000] Rel, protocol default 1200; CAM6's own default is 1 (not 1200) -- same ratio-of-default scale applied on top of CAM6's default per ~/LHS_example/CAM6_param_range_list.txt -> [0.083333, 1.666667]"
conv_cprcon_land,zmconv_c0_lnd,mandatory,0.00375,0.06,"stock CAM6 knob (not added this branch); split from the single conv_cprcon row so land/ocean can be perturbed independently -- see conv_cprcon_ocean. Protocol range [5e-5, 8e-4] Abs (s-1), default 1e-4, applied as a 0.5x/8x ratio-of-default scale on top of CAM6's own land default 0.0075 (microphys=mg2, clubb_sgs=1, phys=cam6) -> [0.00375, 0.06], preserving the protocol's 16:1 low/high spread"
conv_cprcon_ocean,zmconv_c0_ocn,mandatory,0.015,0.24,"stock CAM6 knob (not added this branch); split from the single conv_cprcon row so land/ocean can be perturbed independently -- see conv_cprcon_land. Same 0.5x/8x ratio-of-default scale applied to CAM6's own ocean default 0.0300 (microphys=mg2, clubb_sgs=1, phys=cam6) -> [0.015, 0.24], preserving the protocol's 16:1 low/high spread"
