protocol_name,category,low_status,high_status
emi_ant_so2,mandatory,complete,complete
emi_ant_bc,mandatory,complete,complete
emi_ant_oc,mandatory,complete,complete
emi_bb_so2,mandatory,complete,complete
emi_bb_bc,mandatory,complete,complete
emi_bb_oc,mandatory,complete,complete
emi_dms,mandatory,complete,complete
emi_ss_acc,mandatory,complete,complete
emi_ss_coa,mandatory,complete,complete
emi_du,mandatory,complete,complete
wetdep_ic,mandatory,complete,complete
activ_aero,mandatory,complete,complete
activ_cwturb,mandatory,complete,complete
micro_ccraut,mandatory,complete,complete
micro_ccsaut,mandatory,complete,complete
conv_cprcon_land,mandatory,complete,complete
conv_cprcon_ocean,mandatory,complete,complete
conv_entrpen,mandatory,complete,complete
rad_bc_ni,mandatory,complete,complete
rad_oc_ni,mandatory,complete,complete
micro_ccraut_cdnc_expo,recommended,complete,complete
micro_ccraut_lwp_expo,recommended,complete,complete
kappa_so4,recommended,incomplete,incomplete
kappa_oc,recommended,incomplete,incomplete
micro_icefall,optional,complete,complete
